,Unnamed: 0,id,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,label
83,83,84,x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e,1
84,84,85,x,y,y,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,k,s,g,e,1
85,85,86,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e,1
86,86,87,b,s,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
87,87,88,x,s,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
88,88,89,f,y,n,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,k,y,g,e,1
89,89,90,Certain Edible,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e,1
90,90,91,x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
91,91,92,b,s,w,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
92,92,93,x,y,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
93,93,94,x,y,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
94,94,95,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,Certain Edible,g,e,1
95,95,96,x,s,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
96,96,97,f,y,n,t,Certain Edible,f,c,b,p,e,Certain Edible,s,y,w,w,p,w,o,p,n,s,g,e,1
97,97,98,x,s,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
98,98,99,b,s,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
99,99,100,x,y,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
100,100,101,x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e,1
101,101,102,b,s,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
102,102,103,f,y,y,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,n,s,g,e,1
103,103,104,x,y,y,t,Certain Edible,f,c,b,n,e,Certain Edible,s,y,w,w,p,w,o,p,k,y,p,e,1
104,104,105,b,y,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
105,105,106,x,y,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
106,106,107,x,y,y,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,n,y,g,e,1
107,107,108,b,y,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
108,108,109,b,y,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
109,109,110,x,s,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
110,110,111,x,s,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
111,111,112,Certain Edible,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e,1
112,112,113,x,f,w,t,Certain Edible,f,w,n,w,t,b,s,s,w,w,p,w,o,p,Certain Edible,v,d,e,1
113,113,114,x,s,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
114,114,115,x,y,w,t,Certain Poisonous,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p,0
115,115,116,x,y,y,t,Certain Edible,f,c,b,p,e,Certain Edible,s,y,w,w,p,w,o,p,n,s,g,e,1
116,116,117,Certain Edible,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
117,117,118,x,y,y,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,k,y,g,e,1
118,118,119,x,s,y,t,Certain Edible,f,w,n,p,t,b,s,s,w,w,p,w,o,p,Certain Edible,v,d,e,1
119,119,120,Certain Edible,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
120,120,121,x,s,w,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p,0
121,121,122,x,y,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
122,122,123,f,y,n,t,Certain Poisonous,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p,0
123,123,124,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,Certain Edible,g,e,1
124,124,125,x,s,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
125,125,126,x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e,1
126,126,127,b,s,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
127,127,128,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,Certain Edible,g,e,1
128,128,129,x,s,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
129,129,130,b,s,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
130,130,131,b,s,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
131,131,132,b,y,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
132,132,133,f,s,w,t,Certain Edible,f,w,n,w,t,b,s,s,w,w,p,w,o,p,Certain Edible,v,d,e,1
133,133,134,x,y,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
134,134,135,f,s,w,t,Certain Edible,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
135,135,136,x,y,w,t,Certain Poisonous,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p,0
136,136,137,f,f,w,t,Certain Edible,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
137,137,138,x,y,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
138,138,139,x,s,n,t,Certain Poisonous,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p,0
139,139,140,b,s,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
140,140,141,x,y,n,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,k,y,p,e,1
141,141,142,b,y,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
142,142,143,Certain Edible,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e,1
143,143,144,f,y,n,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,k,y,p,e,1
144,144,145,x,y,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
145,145,146,x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e,1
146,146,147,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,Certain Edible,g,e,1
147,147,148,x,y,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
148,148,149,b,s,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
149,149,150,b,y,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
150,150,151,x,y,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
151,151,152,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,Certain Edible,g,e,1
152,152,153,x,y,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
153,153,154,Certain Edible,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e,1
154,154,155,x,s,w,t,Certain Edible,f,w,n,w,t,b,s,s,w,w,p,w,o,p,Certain Edible,v,d,e,1
155,155,156,x,y,n,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,k,s,g,e,1
156,156,157,b,y,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
157,157,158,x,y,w,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
158,158,159,b,y,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
159,159,160,b,s,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
160,160,161,b,s,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
161,161,162,b,y,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
162,162,163,x,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
163,163,164,f,y,n,t,Certain Edible,f,c,b,n,e,Certain Edible,s,y,w,w,p,w,o,p,n,y,g,e,1
164,164,165,x,y,w,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
165,165,166,f,y,y,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,n,y,p,e,1
166,166,167,b,s,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
167,167,168,b,s,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
168,168,169,x,y,n,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,k,y,g,e,1
169,169,170,b,s,w,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
170,170,171,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
171,171,172,b,s,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
172,172,173,x,f,y,t,Certain Edible,f,w,n,n,t,b,s,s,w,w,p,w,o,p,Certain Edible,v,d,e,1
173,173,174,b,y,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
174,174,175,f,y,y,t,Certain Edible,f,c,b,p,e,Certain Edible,s,y,w,w,p,w,o,p,n,s,g,e,1
175,175,176,b,y,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
176,176,177,b,y,w,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
177,177,178,b,y,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
178,178,179,x,y,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
179,179,180,b,s,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
180,180,181,x,y,w,t,Certain Poisonous,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p,0
181,181,182,Certain Edible,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
182,182,183,f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e,1
183,183,184,x,s,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
184,184,185,f,y,n,t,Certain Edible,f,c,b,p,e,Certain Edible,s,y,w,w,p,w,o,p,k,s,p,e,1
185,185,186,x,y,w,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p,0
186,186,187,b,s,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
187,187,188,f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,e,1
188,188,189,b,y,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
189,189,190,x,y,n,t,Certain Edible,f,c,b,w,e,Certain Edible,s,y,w,w,p,w,o,p,n,y,p,e,1
190,190,191,x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e,1
191,191,192,x,s,w,t,Certain Edible,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
192,192,193,b,s,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
193,193,194,f,s,y,t,Certain Edible,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
194,194,195,x,s,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
195,195,196,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
196,196,197,b,s,y,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
197,197,198,x,s,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
198,198,199,x,y,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,1
199,199,200,f,s,w,t,Certain Edible,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
200,200,201,x,y,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
201,201,202,b,s,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
202,202,203,x,s,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
203,203,204,x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e,1
204,204,205,f,y,n,t,Certain Edible,f,c,b,n,e,Certain Edible,s,y,w,w,p,w,o,p,k,y,p,e,1
205,205,206,x,s,w,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p,0
206,206,207,b,s,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
207,207,208,b,s,w,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e,1
208,208,209,b,y,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,g,e,1
209,209,210,b,y,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,g,e,1
210,210,211,x,s,y,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
211,211,212,b,s,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
212,212,213,x,f,y,t,Certain Edible,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
213,213,214,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e,1
214,214,215,f,y,y,t,Certain Edible,f,c,b,n,e,Certain Edible,s,y,w,w,p,w,o,p,n,s,g,e,1
215,215,216,b,s,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
216,216,217,x,s,y,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
217,217,218,x,y,y,t,Certain Edible,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e,1
218,218,219,x,y,w,t,Certain Edible,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,1
219,219,220,Certain Edible,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e,1
220,220,221,x,s,w,t,Certain Edible,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,Certain Edible,m,e,1
221,221,222,x,s,w,t,Certain Poisonous,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p,0
222,222,223,x,y,y,t,Certain Edible,f,c,b,n,e,Certain Edible,s,y,w,w,p,w,o,p,n,s,g,e,1
223,223,224,f,f,w,t,Certain Edible,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e,1
224,224,225,x,y,w,t,Certain Edible,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,Certain Edible,m,e,1
